Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,year,-9999
10,Abdullah Al Jadani,sa KSA,GK,Najran,22,1991,8,8,720,8.0,,,,0,,3,1,4,2,25.0,5,5,0,0,0.0,2014,d0e20c59
11,Mansor Joher,sa KSA,GK,Al-Shabab,19,1995,2,1,150,1.7,,,,0,,0,1,0,1,100.0,0,0,0,0,,2014,2d60c725
12,Ahmed Al-Kassar,sa KSA,GK,Al-Raed,23,1991,26,26,2340,26.0,,,,0,,7,5,14,3,11.5,7,6,0,1,0.0,2014,eedb42fd
13,Mustafa Malayekah,sa KSA,GK,Hajer,28,1986,24,24,2134,23.7,,,,0,,8,4,12,3,12.5,7,7,0,0,0.0,2014,86c45703
14,Faisal Al Margab,sa KSA,GK,Al-Taawoun,33,1981,4,3,270,3.0,,,,0,,0,0,3,0,0.0,1,1,0,0,0.0,2014,2f119b9e
15,Abdullah Al-Mayouf,sa KSA,GK,Al-Ahli,27,1987,24,24,2160,24.0,,,,0,,17,7,0,9,37.5,2,2,0,0,0.0,2014,c3c96222
16,Ali Al-Mazidi,sa KSA,GK,Al-Fateh,28,1985,11,11,990,11.0,,,,0,,4,3,4,3,27.3,5,3,0,2,0.0,2014,a75cacfd
17,Yasser Al Mosailem,sa KSA,GK,Al-Ahli,30,1984,1,1,90,1.0,,,,0,,0,1,0,0,0.0,0,0,0,0,,2014,6869a0aa
18,Hani Al-Nahedh,sa KSA,GK,Al-Ittihad,26,1987,14,14,1260,14.0,,,,0,,9,2,3,4,28.6,5,4,0,1,0.0,2014,01cc5b4f
19,Mansour Al-Naji,sa KSA,GK,Al-Faisaly,36,1978,14,14,1215,13.5,,,,0,,4,4,6,4,28.6,2,2,0,0,0.0,2014,073463b3
20,Khaled Nasser,sa KSA,GK,Al-Shoulla,25,1988,6,6,540,6.0,,,,0,,1,1,4,2,33.3,1,1,0,0,0.0,2014,1df38124
21,Mohammed Al-Owais,sa KSA,GK,Al-Shabab,22,1991,8,8,655,7.3,,,,0,,3,1,4,1,12.5,1,1,0,0,0.0,2014,f2c060c6
22,Abdullah Al-Owaishir,sa KSA,GK,Al-Fateh,23,1991,15,15,1350,15.0,,,,0,,5,3,7,1,6.7,5,1,0,4,0.0,2014,6a1fe279
23,Fawaz Al-Qarni,sa KSA,GK,Al-Ittihad,22,1992,11,11,987,11.0,,,,0,,7,2,2,3,27.3,2,2,0,0,0.0,2014,5e08e9d2
24,Mohammed Rabee,sa KSA,GK,Al-Orobah,32,1982,6,6,540,6.0,,,,0,,0,3,3,2,33.3,0,0,0,0,,2014,08911246
25,Rafea Al-Ruwaili,sa KSA,GK,Al-Orobah,24,1990,19,19,1710,19.0,,,,0,,4,2,13,2,10.5,5,4,0,1,0.0,2014,fd8092a8
26,Nasser Al-Saiari,sa KSA,GK,Najran,25,1988,4,3,344,3.8,,,,0,,1,0,2,2,66.7,0,0,0,0,,2014,37abe529
27,Hussain Shae'an,sa KSA,GK,Al-Nassr,25,1989,3,2,192,2.1,,,,0,,1,1,0,3,150.0,0,0,0,0,,2014,4049ea16
28,Khalid Sharahili,sa KSA,GK,Al-Hilal,27,1987,10,10,900,10.0,,,,0,,8,1,1,7,70.0,0,0,0,0,,2014,a890a99e
29,Mohammed Sharifi,sa KSA,GK,Najran,35,1978,15,15,1272,14.1,,,,0,,3,2,10,3,20.0,3,3,0,0,0.0,2014,85573257
30,Abdullah Al-Sudairy,sa KSA,GK,Al-Hilal,22,1992,14,14,1260,14.0,,,,0,,6,5,3,3,21.4,4,4,0,0,0.0,2014,8e2d837d
31,Abdulaziz Takroni,sa KSA,MF,Al-Ittihad,22,1991,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,2014,1d8eeaf4
32,Fahad Al-Thunayan,sa KSA,GK,Al-Hilal,27,1986,2,2,180,2.0,,,,0,,2,0,0,0,0.0,0,0,0,0,,2014,bf3c372e
33,Mohammed Al-Waked,sa KSA,GK,Al-Shoulla,22,1992,13,13,1170,13.0,,,,0,,3,3,7,1,7.7,3,3,0,0,0.0,2014,be401296
34,Ibrahim Zaied,sa KSA,GK,Al-Faisaly,24,1990,13,12,1125,12.5,,,,0,,4,2,6,5,41.7,1,1,0,0,0.0,2014,087c8b82
